fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
GRANTS,0W53,VICTIM SPECIALIST PROGRAM,57,CPD,280Z,Crime Victim Assistance,5,SALARIES AND WAGES - ON PAYROLL,128394
GRANTS,0W53,VICTIM SPECIALIST PROGRAM,57,CPD,280Z,Crime Victim Assistance,44,FRINGE BENEFITS,66698
GRANTS,0W53,VICTIM SPECIALIST PROGRAM,57,CPD,280Z,Crime Victim Assistance,140,PROFESSIONAL AND TECHNICAL SERVICES,621908
GRANTS,0W54,LAW ENFORCEMENT MENTAL HEALTH,57,CPD,281E,Mental Health and Wellness,9254,VIOLENCE REDUCTION PROGRAM,100000
GRANTS,0W55,DOM VIOL DATING STALKING CJ RESPONSE,57,CPD,281B,Imrpoving CJ Response - D.V.,140,PROFESSIONAL AND TECHNICAL SERVICES,125000
GRANTS,0W56,JUSTICE REINVESTMENT INITIATIVE,57,CPD,281D,Justice Reinvestment Initiativ,140,PROFESSIONAL AND TECHNICAL SERVICES,111000
GRANTS,0W59,UASI,38,AIS,2854,UASI,5,SALARIES AND WAGES - ON PAYROLL,376518
GRANTS,0W59,UASI,38,AIS,2854,UASI,6,SALARY PROVISION,833
GRANTS,0W59,UASI,38,AIS,2854,UASI,44,FRINGE BENEFITS,181863
GRANTS,0W59,UASI,38,AIS,2854,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,5220786
GRANTS,0W59,UASI,51,PSA,2815,UASI,5,SALARIES AND WAGES - ON PAYROLL,1614539
GRANTS,0W59,UASI,51,PSA,2815,UASI,6,SALARY PROVISION,69070
GRANTS,0W59,UASI,51,PSA,2815,UASI,15,SCHEDULE SALARY ADJUSTMENTS,3366
GRANTS,0W59,UASI,51,PSA,2815,UASI,44,FRINGE BENEFITS,786025
GRANTS,0W59,UASI,51,PSA,2815,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,15521000
GRANTS,0W59,UASI,57,CPD,280V,UASI,5,SALARIES AND WAGES - ON PAYROLL,59731
GRANTS,0W59,UASI,57,CPD,280V,UASI,15,SCHEDULE SALARY ADJUSTMENTS,876
GRANTS,0W59,UASI,57,CPD,280V,UASI,44,FRINGE BENEFITS,31911
GRANTS,0W59,UASI,57,CPD,280V,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,7987482
GRANTS,0W59,UASI,58,OEMC,2811,UASI,5,SALARIES AND WAGES - ON PAYROLL,1387534
GRANTS,0W59,UASI,58,OEMC,2811,UASI,15,SCHEDULE SALARY ADJUSTMENTS,5921
GRANTS,0W59,UASI,58,OEMC,2811,UASI,44,FRINGE BENEFITS,667292
GRANTS,0W59,UASI,58,OEMC,2811,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,298253
GRANTS,0W59,UASI,59,CFD,2825,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,6803000
GRANTS,0W60,PUBLIC HEALTH CRISIS RESPONSE,41,CDPH,281G,Public Health Crisis Response,140,PROFESSIONAL AND TECHNICAL SERVICES,9513000
GRANTS,0W63,UNDERGROUND STORAGE TANK INSPECTION,41,CDPH,2720,UNDERGROUND STORAGE TANK,5,SALARIES AND WAGES - ON PAYROLL,361578
GRANTS,0W63,UNDERGROUND STORAGE TANK INSPECTION,41,CDPH,2720,UNDERGROUND STORAGE TANK,44,FRINGE BENEFITS,188422
GRANTS,0W64,WORK INCENTIVE PLANNING AND ASSISTANCE,48,MOPD,2812,WORK INCENTIVE PLANNING,6,SALARY PROVISION,212000
GRANTS,0W65,TOBACCO ENFORCEMENT GRANT,70,BACP,2801,TOBACCO ENFORCEMENT GRANT,6,SALARY PROVISION,333000
GRANTS,0W73,LEGLER LIBRARY BRANCH RENOVATION,91,CPL,2853,Legler Library Branch Renovatn,410,EQUIPMENT FOR BUILDINGS,40000
GRANTS,0W73,LEGLER LIBRARY BRANCH RENOVATION,91,CPL,2853,Legler Library Branch Renovatn,424,FURNITURE AND FURNISHINGS,500000
GRANTS,0W73,LEGLER LIBRARY BRANCH RENOVATION,91,CPL,2853,Legler Library Branch Renovatn,540,CONSTRUCTION OF BUILDINGS AND STRUCTURES,2524000
GRANTS,0W74,HOME PROGRAM,21,DOH,2833,Home Investment Partnership,9103,REHABILITATION LOANS GT,24904000
GRANTS,0W78,RTA - ADA CERTIFICATION APPEALS,48,MOPD,2832,RTA - ADA Certification Appeal,140,PROFESSIONAL AND TECHNICAL SERVICES,7950
GRANTS,0W78,RTA - ADA CERTIFICATION APPEALS,48,MOPD,2832,RTA - ADA Certification Appeal,270,LOCAL TRANSPORTATION,2750
GRANTS,0W78,RTA - ADA CERTIFICATION APPEALS,48,MOPD,2832,RTA - ADA Certification Appeal,340,MATERIAL AND SUPPLIES,3300
GRANTS,0W79,SUBSTANCE ABUSE PREVENTION,48,MOPD,2805,SUBSTANCE ABUSE PREVENTION,6,SALARY PROVISION,232000
GRANTS,0W82,HOME INVESTMENT PARTNERSHIP,21,DOH,2833,Home Investment Partnership,9103,REHABILITATION LOANS GT,20725000
GRANTS,0W85,AFRICAN AMERICAN CIVIL RIGHTS PRESERVATN,54,DPD,2888,African American Civil Rights,140,PROFESSIONAL AND TECHNICAL SERVICES,405000
GRANTS,0W87,GREEN INFRASTRUCTURE PROGRAM,54,DPD,2887,Green Infrastructure Program,140,PROFESSIONAL AND TECHNICAL SERVICES,500000
GRANTS,0W91,INJURY PREVENTION - PEDESTRIAN SAFETY,57,CPD,2987,INJURY PREVENTION,20,OVERTIME,118000
GRANTS,0W91,INJURY PREVENTION - PEDESTRIAN SAFETY,57,CPD,2987,INJURY PREVENTION,801,INDIRECT COSTS,12000
GRANTS,0W92,SAFE ROUTES TO SCHOOLS,57,CPD,2912,SAFE ROUTES TO SCHOOLS,340,MATERIAL AND SUPPLIES,150000
GRANTS,0W95,PORT SECURITY,58,OEMC,2831,PORT SECURITY,140,PROFESSIONAL AND TECHNICAL SERVICES,816000
GRANTS,0W96,URBAN AREAS SECURITY INITIATIVE,38,AIS,2854,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,5499000
GRANTS,0W96,URBAN AREAS SECURITY INITIATIVE,57,CPD,280V,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,7097000
GRANTS,0W96,URBAN AREAS SECURITY INITIATIVE,58,OEMC,2811,UASI,6,SALARY PROVISION,2038761
GRANTS,0W96,URBAN AREAS SECURITY INITIATIVE,58,OEMC,2811,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,20871239
GRANTS,0W96,URBAN AREAS SECURITY INITIATIVE,59,CFD,2825,UASI,140,PROFESSIONAL AND TECHNICAL SERVICES,6006000
GRANTS,0W97,FIRE ACADEMY TRAINING AND IMPROVEMENT,59,CFD,2810,FIRE ACAD TRNG/IMPROVEMENT,6,SALARY PROVISION,1341000
GRANTS,0W97,FIRE ACADEMY TRAINING AND IMPROVEMENT,59,CFD,2810,FIRE ACAD TRNG/IMPROVEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,1701000
GRANTS,0W99,HAZARDOUS MATERIALS EMERGENCY PREP,58,OEMC,2825,HAZARDOUS MATERIALS EMERG PREP,140,PROFESSIONAL AND TECHNICAL SERVICES,42000
GRANTS,0X16,SOLID WASTE MANAGEMENT,41,CDPH,2722,SOLID WASTE MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,81119
GRANTS,0X16,SOLID WASTE MANAGEMENT,41,CDPH,2722,SOLID WASTE MANAGEMENT,44,FRINGE BENEFITS,37975
GRANTS,0X16,SOLID WASTE MANAGEMENT,41,CDPH,2722,SOLID WASTE MANAGEMENT,801,INDIRECT COSTS,22906
GRANTS,0X71,HOPWA HOUSING AND HEALTH STUDY,41,CDPH,2961,HOPWA HOUSING AND HEALTH STUDY,140,PROFESSIONAL AND TECHNICAL SERVICES,989000
GRANTS,0X76,LEAD BASED PAINT HAZARD CONTROL(TORRENS),41,CDPH,2884,LEAD-BASED PAINT HAZARD,140,PROFESSIONAL AND TECHNICAL SERVICES,250000
GRANTS,0X92,TEEN PREGNANCY PREVENTION EVALUATION,41,CDPH,280G,Teen Pregnancy Prevention Eval,140,PROFESSIONAL AND TECHNICAL SERVICES,133000
GRANTS,0X97,ADULT VIRAL HEPATITIS,41,CDPH,2979,ADULT VIRAL HEPATITIS,140,PROFESSIONAL AND TECHNICAL SERVICES,219000
GRANTS,0X99,RESILIENCY IN COMMUNITIES,41,CDPH,280P,Resiliency in Communities,6,SALARY PROVISION,1025000
GRANTS,0Y11,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,135,DELEGATE AGENCIES,400000
GRANTS,0Y42,SENIOR COMPANION PROJECT,50,DFSS,2868,SENIOR COMPANION PJT - ACTION,140,PROFESSIONAL AND TECHNICAL SERVICES,69000
GRANTS,0Y51,EARLY HEAD START EXPANSION,50,DFSS,2860,HEAD START / EARLY HEAD START,6,SALARY PROVISION,5000
GRANTS,0Y51,EARLY HEAD START EXPANSION,50,DFSS,2860,HEAD START / EARLY HEAD START,135,DELEGATE AGENCIES,2657640
GRANTS,0Y51,EARLY HEAD START EXPANSION,50,DFSS,2860,HEAD START / EARLY HEAD START,140,PROFESSIONAL AND TECHNICAL SERVICES,630000
GRANTS,0Y51,EARLY HEAD START EXPANSION,50,DFSS,2860,HEAD START / EARLY HEAD START,340,MATERIAL AND SUPPLIES,10000
GRANTS,0Y51,EARLY HEAD START EXPANSION,50,DFSS,2860,HEAD START / EARLY HEAD START,801,INDIRECT COSTS,272360
GRANTS,0Y53,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,135,DELEGATE AGENCIES,1600000
GRANTS,0Y54,EARLY CHILDHOOD BLOCK GRANT,50,DFSS,2962,Early Childhood Block Grant,135,DELEGATE AGENCIES,40600000
GRANTS,0Y55,CULTURAL SECTOR BUILDING,23,DCASE,2877,Cultural Sector Building,140,PROFESSIONAL AND TECHNICAL SERVICES,1000000
GRANTS,0Y56,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,135,DELEGATE AGENCIES,2407000
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,6,SALARY PROVISION,6505313
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,130,POSTAGE,10163
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,135,DELEGATE AGENCIES,6419860
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,140,PROFESSIONAL AND TECHNICAL SERVICES,3117395
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,159,LEASE/PURCHASE EQUIPMENT,7500
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,166,DUES  SUBSC & MEM,2435
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,169,TECHNICAL MEETING COSTS,25000
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,190,TELEPHONE - CENTREX BILLINGS,123000
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,270,LOCAL TRANSPORTATION,3000
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,340,MATERIAL AND SUPPLIES,10116
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,350,STATIONERY AND OFFICE SUPPLIES,4500
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,801,INDIRECT COSTS,575718
GRANTS,0Y57,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,991,MATCHING AND SUPPLEMENTAL GRANTS,186000
GRANTS,0Y58,DOMESTIC VIOLENCE HELP LINE,50,DFSS,2923,CHICAGO DOM VIOLENCE HELP LINE,140,PROFESSIONAL AND TECHNICAL SERVICES,1281000
GRANTS,0Y59,STATE DOMESTIC VIOLENCE HELP LINE MATCH,50,DFSS,2923,CHICAGO DOM VIOLENCE HELP LINE,140,PROFESSIONAL AND TECHNICAL SERVICES,272000
GRANTS,0Y60,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,135,DELEGATE AGENCIES,10292414
GRANTS,0Y60,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,140,PROFESSIONAL AND TECHNICAL SERVICES,56683
GRANTS,0Y60,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,350,STATIONERY AND OFFICE SUPPLIES,6059
GRANTS,0Y60,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,801,INDIRECT COSTS,144844
GRANTS,0Y61,HEAD START AND EARLY HEAD START,50,DFSS,2860,HEAD START / EARLY HEAD START,135,DELEGATE AGENCIES,140000000
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,5,SALARIES AND WAGES - ON PAYROLL,734574
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,15,SCHEDULE SALARY ADJUSTMENTS,1548
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,44,FRINGE BENEFITS,354362
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,135,DELEGATE AGENCIES,12686138
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,140,PROFESSIONAL AND TECHNICAL SERVICES,1475759
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,159,LEASE/PURCHASE EQUIPMENT,1730
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,166,DUES  SUBSC & MEM,252053
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,169,TECHNICAL MEETING COSTS,2100
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,270,LOCAL TRANSPORTATION,500
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,348,BOOKS AND RELATED MATERIAL,50000
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,350,STATIONERY AND OFFICE SUPPLIES,5000
GRANTS,0Y62,EARLY HEAD START -CHILD CARE PARTNERSHIP,50,DFSS,2860,HEAD START / EARLY HEAD START,801,INDIRECT COSTS,536236
GRANTS,0Y63,ELDER ABUSE AND NEGLECT,50,DFSS,2846,ELDER ABUSE AND NEGLECT,6,SALARY PROVISION,13000
GRANTS,0Y63,ELDER ABUSE AND NEGLECT,50,DFSS,2846,ELDER ABUSE AND NEGLECT,801,INDIRECT COSTS,20000
GRANTS,0Y64,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,140,PROFESSIONAL AND TECHNICAL SERVICES,412000
GRANTS,0Y65,STATE FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,140,PROFESSIONAL AND TECHNICAL SERVICES,10000
GRANTS,0Y65,STATE FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,330,FOOD,4000
GRANTS,0Y65,STATE FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,340,MATERIAL AND SUPPLIES,4000
GRANTS,0Y66,LONG TERM CARE OMBUDSMAN PROGRAM - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,6,SALARY PROVISION,60000
GRANTS,0Y67,LONG TERM CARE SYSTEM DEVELOPMENT,50,DFSS,2820,LONGTERM CARE SYSTEM DEVELOP,6,SALARY PROVISION,31000
GRANTS,0Y68,MEDICARE IMPROVEMENTS ACT,50,DFSS,2937,MEDICARE IMPROVEMENTS,6,SALARY PROVISION,50000
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,5,SALARIES AND WAGES - ON PAYROLL,53295
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,44,FRINGE BENEFITS,28472
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,50,STIPENDS,54743
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,125,OFFICE AND BUILDING SERVICES,10000
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,135,DELEGATE AGENCIES,130000
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,2800
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,801,INDIRECT COSTS,30690
GRANTS,0Y69,SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,991,MATCHING AND SUPPLEMENTAL GRANTS,130000
GRANTS,0Y70,STATE SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2862,STATE SENIOR EMPLOYMENT SPEC,6,SALARY PROVISION,11000
GRANTS,0Y71,STATE SENIOR COMPANION MATCH,50,DFSS,2868,SENIOR COMPANION PJT - ACTION,50,STIPENDS,8000
GRANTS,0Y72,SENIOR HEALTH ASSISTANCE,50,DFSS,2946,Senior Health Assistance Pgm.,140,PROFESSIONAL AND TECHNICAL SERVICES,170000
GRANTS,0Y73,SENIOR MEDICARE PATROL,50,DFSS,2945,Senior Medicare Patrol,135,DELEGATE AGENCIES,10000
GRANTS,0Y74,ABANDONED RESIDENTIAL PROPERTY RELIEF,21,DOH,2834,Abandoned Res. Property Relief,140,PROFESSIONAL AND TECHNICAL SERVICES,2184000
GRANTS,0Y75,TITLE XX DONATED FUNDS,50,DFSS,2873,TITLE XX DONATED FUNDS,6,SALARY PROVISION,7124
GRANTS,0Y75,TITLE XX DONATED FUNDS,50,DFSS,2873,TITLE XX DONATED FUNDS,135,DELEGATE AGENCIES,753635
GRANTS,0Y75,TITLE XX DONATED FUNDS,50,DFSS,2873,TITLE XX DONATED FUNDS,801,INDIRECT COSTS,4241
GRANTS,0Y78,ALZHEIMER'S DISEASE PROGRAM INITIATIVE,50,DFSS,2964,Alzheimer's Disease Program,5,SALARIES AND WAGES - ON PAYROLL,166798
GRANTS,0Y78,ALZHEIMER'S DISEASE PROGRAM INITIATIVE,50,DFSS,2964,Alzheimer's Disease Program,44,FRINGE BENEFITS,84605
GRANTS,0Y78,ALZHEIMER'S DISEASE PROGRAM INITIATIVE,50,DFSS,2964,Alzheimer's Disease Program,140,PROFESSIONAL AND TECHNICAL SERVICES,815727
GRANTS,0Y78,ALZHEIMER'S DISEASE PROGRAM INITIATIVE,50,DFSS,2964,Alzheimer's Disease Program,801,INDIRECT COSTS,155870
GRANTS,0Y78,ALZHEIMER'S DISEASE PROGRAM INITIATIVE,50,DFSS,2964,Alzheimer's Disease Program,991,MATCHING AND SUPPLEMENTAL GRANTS,110000
GRANTS,0Y80,SENIOR BENEFITS ACCESS PROGRAM,50,DFSS,2977,SENIOR BENEFITS ACCESS PROGRAM,140,PROFESSIONAL AND TECHNICAL SERVICES,672000
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,5,SALARIES AND WAGES - ON PAYROLL,4090261
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,15,SCHEDULE SALARY ADJUSTMENTS,14089
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,44,FRINGE BENEFITS,1953706
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,125,OFFICE AND BUILDING SERVICES,33936
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,135,DELEGATE AGENCIES,6679855
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,140,PROFESSIONAL AND TECHNICAL SERVICES,40774
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,155,RENTAL OF PROPERTY,53570
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,159,LEASE/PURCHASE EQUIPMENT,20892
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,190,TELEPHONE - CENTREX BILLINGS,53570
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,340,MATERIAL AND SUPPLIES,10500
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,350,STATIONERY AND OFFICE SUPPLIES,3285
GRANTS,0Y84,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,801,INDIRECT COSTS,695562
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,5,SALARIES AND WAGES - ON PAYROLL,122465
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,15,SCHEDULE SALARY ADJUSTMENTS,1005
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,44,FRINGE BENEFITS,57331
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,50,STIPENDS,381516
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,140,PROFESSIONAL AND TECHNICAL SERVICES,10534
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,56236
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,330,FOOD,22913
GRANTS,0Y87,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,991,MATCHING AND SUPPLEMENTAL GRANTS,245000
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,5,SALARIES AND WAGES - ON PAYROLL,6268415
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,6,SALARY PROVISION,3081452
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,15,SCHEDULE SALARY ADJUSTMENTS,16926
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,44,FRINGE BENEFITS,2984147
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,130,POSTAGE,10163
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,135,DELEGATE AGENCIES,9284128
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,140,PROFESSIONAL AND TECHNICAL SERVICES,85000
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,159,LEASE/PURCHASE EQUIPMENT,7500
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,166,DUES  SUBSC & MEM,2435
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,169,TECHNICAL MEETING COSTS,25000
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,190,TELEPHONE - CENTREX BILLINGS,22000
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,270,LOCAL TRANSPORTATION,1500
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,340,MATERIAL AND SUPPLIES,10116
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,350,STATIONERY AND OFFICE SUPPLIES,4500
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,801,INDIRECT COSTS,575718
GRANTS,0Y88,AREA PLAN ON AGING,50,DFSS,2904,AREA PLAN ON AGING,991,MATCHING AND SUPPLEMENTAL GRANTS,186000
GRANTS,0Y89,LONG TERM CARE SYSTEM DEVELOPMENT,50,DFSS,2820,LONGTERM CARE SYSTEM DEVELOP,140,PROFESSIONAL AND TECHNICAL SERVICES,62000
GRANTS,0Y90,LONG TERM CARE OMBUDSMAN PROGRAM - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,140,PROFESSIONAL AND TECHNICAL SERVICES,120000
GRANTS,0Y91,ELDER ABUSE AND NEGLECT,50,DFSS,2846,ELDER ABUSE AND NEGLECT,140,PROFESSIONAL AND TECHNICAL SERVICES,65000
GRANTS,0Y92,HOPWA,41,CDPH,2932,HOPWA,140,PROFESSIONAL AND TECHNICAL SERVICES,10133000
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,5,SALARIES AND WAGES - ON PAYROLL,1786376
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,6,SALARY PROVISION,1074772
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,20,OVERTIME,6000
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,44,FRINGE BENEFITS,859275
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,91,UNIFORM ALLOWANCE,500
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,135,DELEGATE AGENCIES,369207
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,140,PROFESSIONAL AND TECHNICAL SERVICES,5000
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,169,TECHNICAL MEETING COSTS,2500
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,189,TELEPHONE - NON-CENTREX BILLINGS,5500
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,229,TRANSPORTATION AND EXPENSE ALLOWANCE,7000
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,270,LOCAL TRANSPORTATION,7000
GRANTS,0Y93,LOCAL HEALTH PROTECTION,41,CDPH,2730,Local Health Protection,350,STATIONERY AND OFFICE SUPPLIES,5870
GRANTS,0Y94,NARCAN / OPIOID PREVENTION,41,CDPH,280T,Opioid Use Prevention,140,PROFESSIONAL AND TECHNICAL SERVICES,70000
GRANTS,0Y95,MATERNAL AND CHILD HEALTH,41,CDPH,2910,MATERNAL AND CHILD HEALTH,5,SALARIES AND WAGES - ON PAYROLL,2254591
